index,created_at,text,like_count,retweet_count,reply_count,quote_count
44,2022-09-04T07:27:38.000Z,にゃーん,1,0,0,0
45,2022-08-30T04:58:39.000Z,UPPER_SNAKE_CASEを忘れてた\nBOILED_EGG\n割とかっこいい気がしてきた,1,0,0,0
46,2022-08-30T04:56:15.000Z,個人的にかっこいいと思う順番\nboiledEgg &gt;&gt; boiled_egg &gt;&gt; BoiledEgg\nlowerCamelCaseかっこいいと思うから好きなんだけど、無意識にsnake_case使ってることがあるから、自分の体はsnake_caseが楽みたいだ。,2,0,1,0
47,2022-08-30T01:35:50.000Z,RT @Nanaio627: 炎上覚悟で言います。\n\nきのこよりたけのこの方が圧倒的に売れます。スーパーの店員です。,0,23769,0,0
48,2022-08-25T07:07:01.000Z,同じエラーを何度も繰り返すと語気を強めて怒ってくれたりしないかな。もしくは慰めてくれるとか。会話してる相手の返事が単調だと悲しくなる。,0,0,0,0
49,2022-08-23T02:23:09.000Z,@drugeroi 常盤祭では別のものを出します！\nそして、ボタンミスってリツイートしましたが気にしないでくだせえ🙇‍♂️,1,0,0,0
50,2022-08-23T02:21:52.000Z,RT @drugeroi: @yudetamageta はや！！！おつかれっす,0,1,0,0
51,2022-08-23T00:06:32.000Z,LT会のスライドが完成したぜよ。,2,0,1,0
52,2022-08-22T12:16:29.000Z,気になるの！！！！,2,0,0,0
53,2022-08-17T16:29:49.000Z,VueとNuxtの公式が💚と✨をツイートしてた。謎\n何かいいことでもあったんだろうか,2,0,0,0
54,2022-08-17T16:14:16.000Z,ゴーストノートがおしゃれさんなんだよ。,0,0,0,0
55,2022-08-17T16:13:36.000Z,サマフェス楽しかった,2,0,0,0
56,2022-08-16T15:43:52.000Z,あめさんさん,1,0,0,0
57,2022-08-16T15:43:09.000Z,RT @DaikiTsuneta: King Gnu - 雨燦々\nhttps://t.co/qZ6U8N064C\nMV公開しました🌂\nㅤ\n雨燦々と\n降り注ぎ\n夏を弾いて\n反射した\n僕らを映し出す\nㅤ\n雨燦々と\n降り注ぎ\n夏を泳いで\nずぶ濡れの\n僕らを映し出す https://t…,0,3206,0,0
58,2022-08-15T17:34:05.000Z,今起きている横国付近の住民へ\n外に出ると風が気持ちいいですよ,2,0,1,0
59,2022-08-09T15:40:19.000Z,RT @_kurikin: やっと夏休みということで https://t.co/PSVC4sW3zE,0,8,0,0
60,2022-08-06T17:07:27.000Z,非同期処理が難しくて上手く書けず、実行結果がおかしい。寝ているうちに脳が非同期的に問題を解決してくれると信じよう,1,0,0,0
61,2022-08-06T13:48:02.000Z,さっきからひたすらコンパイルして、実行したつもりになってた...\n.outなんて拡張子があるのか,0,0,0,0
62,2022-08-06T13:13:42.000Z,完全に理解することすらできなかった。,1,0,0,0
63,2022-08-05T08:53:47.000Z,figmaでニャンコ先生描いた。 https://t.co/DN7IysIgZF,2,0,0,0
64,2022-08-05T07:00:16.000Z,VScodeのエディタからターミナルへの移動のショートカット設定できた\n下の記事に感謝\nhttps://t.co/JoohHtSWe9,0,0,0,0
65,2022-08-05T06:11:39.000Z,授業支援システム用のCLIほしい。コマンドでよく使う操作は簡潔に済ませられるとかなり使い勝手が改善されると思う。,4,0,0,0
